Almaty, ALA, Ukraine International Airlines, PS, 538, 8:40, 0204567, 31.10.2017 24.03.2018
Almaty, ALA, Air Astana, KC, 401, 20:40, 0234067, 29.10.2017 24.03.2018
Amman, AMM, Ukraine International Airlines, PS, 762, 7:15, 0030507, 01.11.2017 23.03.2018
Amsterdam, AMS, Ukraine International Airlines, PS, 106, 9:20, 0230507, 29.10.2017 23.03.2018
Amsterdam, AMS, KLM, KL, 1385, 13:15, 1234500, 30.10.2017 23.03.2018
Amsterdam, AMS, Ukraine International Airlines, PS, 102, 17:00, 1234567, 29.10.2017 24.03.2018
Amsterdam, AMS, KLM, KL, 1387, 0:20, 0204060, 31.10.2017 06.01.2018
Ankara, ESB, Ukraine International Airlines, PS, 722, 8:05, 0204067, 29.10.2017 24.03.2018
Astana, TSE, Air Astana, KC, 101, 7:30, 0000060, 02.12.2017 24.03.2018
Astana, TSE, Ukraine International Airlines, PS, 534, 8:25, 0030560, 01.11.2017 24.03.2018
Astana, TSE, Air Astana, KC, 103, 20:55, 1030500, 30.10.2017 23.03.2018
Athens, ATH, Aegean Airlines, A3, 968, 2:15, 0000507, 03.11.2017 23.03.2018
Athens, ATH, Ukraine International Airlines, PS, 354, 17:40, 0230507, 29.10.2017 23.03.2018
Baku, GYD, Ukraine International Airlines, PS, 602, 7:10, 0234567, 29.10.2017 24.03.2018
Baku, GYD, Azerbaijan Airlines, J2, 683, 10:10, 1004067, 29.10.2017 24.03.2018
Bangkok, BKK, Ukraine International Airlines, PS, 272, 17:55, 1204007, 18.02.2018 22.03.2018
Barcelona, BCN, Azur Air Ukraine, QU, 4452, 12:50, 0000060, 04.11.2017 24.03.2018
Barcelona, BCN, Ukraine International Airlines, PS, 992, 18:00, 1030567, 29.10.2017 24.03.2018
Beijing, PEK, Ukraine International Airlines, PS, 288, 8:40, 0230000, 05.12.2017 21.03.2018
Bergamo, BGY, Ukraine International Airlines, PS, 316, 8:10, 0234567, 29.10.2017 24.03.2018
Berlin, TXL, Ukraine International Airlines, PS, 424, 14:20, 1034067, 29.10.2017 24.03.2018
Brussels, BRU, Ukraine International Airlines, PS, 148, 9:35, 0030060, 01.11.2017 24.03.2018
Brussels, BRU, Ukraine International Airlines, PS, 146, 17:55, 1034567, 29.10.2017 24.03.2018
Bucharest, OTP, WINDROSE, 7W, 760, 18:40, 1030507, 29.10.2017 23.03.2018
Budapest, BUD, Ukraine International Airlines, PS, 814, 18:00, 0204567, 29.10.2017 24.03.2018
Chernivtsi, CWC, Ukraine International Airlines, PS, 42, 8:15, 0234067, 29.10.2017 24.03.2018
